UF,id,Cidade,Status,Observações,Falhas
BA,ba_itapicuru,Itapicuru,True,,
BA,ba_cicero_dantas,Cícero Dantas,True,,
BA,ba_riacho_de_santana,Riacho de Santana,True,,
BA,ba_campo_alegre_de_lourdes,Campo Alegre de Lourdes,True,,
BA,ba_camamu,Camamu,True,,
BA,ba_paratinga,Paratinga,False,BaseUrl não funciona,
BA,ba_cachoeira,Cachoeira,True,,
BA,ba_santa_cruz_cabralia,Santa Cruz Cabrália,True,,
BA,ba_carinhanha,Carinhanha,True,,
BA,ba_muritiba,Muritiba,True,,
BA,ba_ruy_barbosa,Ruy Barbosa,False,BaseUrl não funciona,
BA,ba_itabela,Itabela,True,,
BA,ba_irara,Irará,True,,
BA,ba_presidente_tancredo_neves,Presidente Tancredo Neves,True,,
BA,ba_itacare,Itacaré,True,,
BA,ba_maracas,Maracás,True,,
BA,ba_santa_rita_de_cassia,Santa Rita de Cássia,True,,
BA,ba_nazare,Nazaré,True,,
BA,ba_coracao_de_maria,Coração de Maria,True,,
BA,ba_paripiranga,Paripiranga,True,,
BA,ba_ibotirama,Ibotirama,True,,
BA,ba_barra_da_estiva,Barra da Estiva,True,,
BA,ba_queimadas,Queimadas,True,,
BA,ba_formosa_do_rio_preto,Formosa do Rio Preto,True,,
BA,ba_lapao,Lapão,False,BaseUrl não funciona,
BA,ba_sobradinho,Sobradinho,True,,
BA,ba_anage,Anagé,True,,
PE,pe_recife,Recife,True,,
PE,pe_jaboatao_dos_guararapes,Jaboatão dos Guararapes,False,SpiderType não funciona como o esperado,
PE,pe_petrolina,Petrolina,True,,
PE,pe_caruaru,Caruaru,True,,
PE,pe_olinda,Olinda,True,,
PE,pe_paulista,Paulista,True,,
PE,pe_cabo_de_santo_agostinho,Cabo de Santo Agostinho,True,,
PE,pe_camaragibe,Camaragibe,True,,
PE,pe_garanhuns,Garanhuns,True,,
PE,pe_vitoria_de_santo_antao,Vitória de Santo Antão,True,,
PE,pe_igarassu,Igarassu,True,,
PE,pe_sao_lourenco_da_mata,São Lourenço da Mata,True,,
PE,pe_ipojuca,Ipojuca,True,,
PE,pe_abreu_e_lima,Abreu e Lima,True,,
PE,pe_santa_cruz_do_capibaribe,Santa Cruz do Capibaribe,True,,
PE,pe_serra_talhada,Serra Talhada,True,,
PE,pe_gravata,Gravatá,True,,
PE,pe_araripina,Araripina,False,BaseUrl não funciona,
PE,pe_goiana,Goiana,True,,
PE,pe_belo_jardim,Belo Jardim,True,,
PE,pe_carpina,Carpina,True,,
PE,pe_arcoverde,Arcoverde,True,,
PE,pe_ouricuri,Ouricuri,True,,
PE,pe_surubim,Surubim,True,,
PE,pe_pesqueira,Pesqueira,False,BaseUrl não funciona,
PE,pe_salgueiro,Salgueiro,True,,
PE,pe_bezerros,Bezerros,True,,
PE,pe_escada,Escada,True,,
PE,pe_paudalho,Paudalho,True,,
PE,pe_limoeiro,Limoeiro,True,,
PE,pe_moreno,Moreno,True,,
PE,pe_palmares,Palmares,True,,
PE,pe_buique,Buíque,True,,
PE,pe_sao_bento_do_una,São Bento do Una,True,,
PE,pe_brejo_da_madre_de_deus,Brejo da Madre de Deus,True,,
PE,pe_timbauba,Timbaúba,False,BaseUrl não funciona,
PE,pe_bom_conselho,Bom Conselho,False,BaseUrl não funciona,
PE,pe_aguas_belas,Águas Belas,True,,
PE,pe_toritama,Toritama,True,,
PE,pe_santa_maria_da_boa_vista,Santa Maria da Boa Vista,True,,
PE,pe_afogados_da_ingazeira,Afogados da Ingazeira,True,,
PE,pe_barreiros,Barreiros,False,BaseUrl não funciona,
PE,pe_lajedo,Lajedo,False,BaseUrl não funciona,
PE,pe_custodia,Custódia,False,BaseUrl não funciona,
PE,pe_bom_jardim,Bom Jardim,True,,
PE,pe_sirinhaem,Sirinhaém,True,,
PE,pe_bonito,Bonito,True,,
PE,pe_sao_caetano,São Caetano,True,,
